# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
#SOURCELONG:Blood of Fiends	SOURCESHORT:PFBOF	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8auu	SOURCEDATE:2012-04
# ORIGINAL ENTRY: Stefan Radermacher
# ORIGINAL ENTRY DATE: 12 July 2013

# Ability Category			Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object		Display Location
ABILITYCATEGORY:Tiefling Subrace	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TieflingSubrace	DISPLAYLOCATION:Racial Abilities



###Block: Tiefling Race Traits
# Ability Category					Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Asura Spawn Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AsuraSpawnRacialTrait	PLURAL:Asura Spawn Racial Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Daemon Spawn Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DaemonSpawnRacialTrait	PLURAL:Daemon Spawn Racial Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Demodand Spawn Racial Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DemodandSpawnRacialTrait	PLURAL:Demodand Spawn Racial Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Demon Spawn Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DemonSpawnRacialTrait	PLURAL:Demon Spawn Racial Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Devil Spawn Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DevilSpawnRacialTrait	PLURAL:Devil Spawn Racial Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Div Spawn Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DivSpawnRacialTrait	PLURAL:Div Spawn Racial Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Kyton Spawn Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:KytonSpawnRacialTrait	PLURAL:Kyton Spawn Racial Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Oni Spawn Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:OniSpawnRacialTrait	PLURAL:Oni Spawn Racial Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Qlippoth Spawn Racial Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:QlippothSpawnRacialTrait	PLURAL:Qlippoth Spawn Racial Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Rakshasa Spawn Racial Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:RakshasaSpawnRacialTrait	PLURAL:Rakshasa Spawn Racial Traits	DISPLAYLOCATION:Racial Abilities

###Block: Tiefling Race Traits
# Ability Category				Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Tiefling Race Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TieflingRaceTrait		PLURAL:Tiefling Race Traits		DISPLAYLOCATION:Race Abilities
ABILITYCATEGORY:Asura Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AsuraSpawnRaceTrait	PLURAL:Asura Spawn Race Traits	DISPLAYLOCATION:Race Abilities
ABILITYCATEGORY:Daemon Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DaemonSpawnRaceTrait	PLURAL:Daemon Spawn Race Traits	DISPLAYLOCATION:Race Abilities
ABILITYCATEGORY:Demodand Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DemodandSpawnRaceTrait	PLURAL:Demodand Spawn Race Traits	DISPLAYLOCATION:Race Abilities
ABILITYCATEGORY:Demon Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DemonSpawnRaceTrait	PLURAL:Demon Spawn Race Traits	DISPLAYLOCATION:Race Abilities
ABILITYCATEGORY:Devil Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DevilSpawnRaceTrait	PLURAL:Devil Spawn Race Traits	DISPLAYLOCATION:Race Abilities
ABILITYCATEGORY:Div Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DivSpawnRaceTrait		PLURAL:Div Spawn Race Traits		DISPLAYLOCATION:Race Abilities
ABILITYCATEGORY:Kyton Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:KytonSpawnRaceTrait	PLURAL:Kyton Spawn Race Traits	DISPLAYLOCATION:Race Abilities
