# CVS $Revision: 19255 $ $Author: amaitland $ -- Sat Nov 23 14:46:39 2013 -- reformated by prettylst.pl v1.50 (build 22134)
SOURCELONG:Blood of Fiends	SOURCESHORT:BOF	SOURCEWEB:http://paizo.com/products/btpy8qzz?Pathfinder-Player-Companion-Blood-of-Fiends	SOURCEDATE:2012-04
# ORIGINAL ENTRY: Stefan Radermacher
# ORIGINAL ENTRY DATE: 12 July 2013

###Block: Template to activate bardic masterpieces
# Template Name				Visible	Ability
Masterpiece Activation Tiefling	VISIBLE:NO	ABILITY:Special Ability|AUTOMATIC|Masterpiece ~ Dance of Kindled Desires|PREMULT:1,[PRESPELL:1,Masterpiece (Dance of Kindled Desires)],[PREFEAT:1,Masterpiece (Dance of Kindled Desires)]	ABILITY:Special Ability|AUTOMATIC|Masterpiece ~ Melody of Frightful Death|PREMULT:1,[PRESPELL:1,Masterpiece (Melody of Frightful Death)],[PREFEAT:1,Masterpiece (Melody of Frightful Death)]	ABILITY:Special Ability|AUTOMATIC|Masterpiece ~ Rheumy Refrain|PREMULT:1,[PRESPELL:1,Masterpiece (Rheumy Refrain)],[PREFEAT:1,Masterpiece (Rheumy Refrain)]


###Block: Subrace
# Template Name	Unique Key				Visible	Subrace	Race Subtype
Asura-Spawn		KEY:Tiefling (Asura-Spawn)	VISIBLE:NO	SUBRACE:YES	RACESUBTYPE:Asura-Spawn
Daemon-Spawn	KEY:Tiefling (Daemon-Spawn)	VISIBLE:NO	SUBRACE:YES	RACESUBTYPE:Daemon-Spawn
Demodand-Spawn	KEY:Tiefling (Demodand-Spawn)	VISIBLE:NO	SUBRACE:YES	RACESUBTYPE:Demodand-Spawn
Demon-Spawn		KEY:Tiefling (Demon-Spawn)	VISIBLE:NO	SUBRACE:YES	RACESUBTYPE:Demon-Spawn
Devil-Spawn		KEY:Tiefling (Devil-Spawn)	VISIBLE:NO	SUBRACE:YES	RACESUBTYPE:Devil-Spawn
Div-Spawn		KEY:Tiefling (Div-Spawn)	VISIBLE:NO	SUBRACE:YES	RACESUBTYPE:Div-Spawn
Kyton-Spawn		KEY:Tiefling (Kyton-Spawn)	VISIBLE:NO	SUBRACE:YES	RACESUBTYPE:Kyton-Spawn
Oni-Spawn		KEY:Tiefling (Oni-Spawn)	VISIBLE:NO	SUBRACE:YES	RACESUBTYPE:Oni-Spawn
Qlippoth-Spawn	KEY:Tiefling (Qlippoth-Spawn)	VISIBLE:NO	SUBRACE:YES	RACESUBTYPE:Qlippoth-Spawn
Rakshasa-Spawn	KEY:Tiefling (Rakshasa-Spawn)	VISIBLE:NO	SUBRACE:YES	RACESUBTYPE:Rakshasa-Spawn



#
# End
#
