#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Pathfinder Player Companion: Dragon Empires Primer	SOURCESHORT:DEP	SOURCEWEB:http://paizo.com/products/btpy8pg0	SOURCEDATE:2012-01
# Original Entry by:Jonas Karlsson, Stefan Radermacher

###Block: Human Ethnicities
# Template Name			Product Identity?	Visible	Source Page		Auto Language		Subrace
Human Ethnicity (Tian-Dan)	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.8	AUTO:LANG|Draconic|Tien	SUBRACE:Tian-Dan
Human Ethnicity (Tian-Dtang)	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.8	AUTO:LANG|Dtang|Tien	SUBRACE:Tian-Dtang
Human Ethnicity (Tian-Hwan)	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.8	AUTO:LANG|Hwan|Tien	SUBRACE:Tian-Hwan
Human Ethnicity (Tian-La)	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.8	AUTO:LANG|Hon-La|Tien	SUBRACE:Tian-La
Human Ethnicity (Tian-Min)	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.8	AUTO:LANG|Minkaian|Tien	SUBRACE:Tian-Min
Human Ethnicity (Tian-Shu)	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.8	AUTO:LANG|Tien		SUBRACE:Tian-Shu
Human Ethnicity (Tian-Sing)	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.8	AUTO:LANG|Minatan|Tien	SUBRACE:Tian-Sing

###Block: Regional Affinities
# Template Name					Product Identity?	Visible	Source Page		Bonus Languages															Region
Regional Affinity (Amanandar)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.8	LANGBONUS:Taldane,Tien														REGION:Amanandar
Regional Affinity (Bachuan)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.8	LANGBONUS:Tien															REGION:Bachuan
Regional Affinity (Chu Ye)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.9	LANGBONUS:Giant,Hon-La,Minkaian,Samsaran,Senzar,Tien									REGION:Chu Ye
Regional Affinity (Darklands (Tian-Xia))	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.9	LANGBONUS:Aklo,Undercommon													REGION:Darklands (Tian-Xia)
Regional Affinity (Dtang Ma)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.10	LANGBONUS:Dtang,Nagaji,Tien													REGION:Dtang Ma
Regional Affinity (Forest of Spirits)	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.10	LANGBONUS:Senzar,Tien														REGION:Forest of Spirits
Regional Affinity (Goka)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.11	LANGBONUS:Dtang,Hon-La,Hwan,Kelish,Minatan,Minkaian,Nagaji,Samsaran,Taldane,Tengu,Tien,Vudrani,Wayang	REGION:Goka
Regional Affinity (Hongal)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.11	LANGBONUS:Hon-La,Minkaian,Senzar,Tien											REGION:Hongal
Regional Affinity (Hwanggot)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.12	LANGBONUS:Hwan,Tien														REGION:Hwanggot
