# CVS $Revision: $ $Author: $ -- Wed Mar 20 16:10:53 2013 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Gnomes of Golarion	SOURCESHORT:GoG	SOURCEWEB:http://paizo.com/products/btpy8dmh?Pathfinder-Companion-Gnomes-of-Golarion	SOURCEDATE:2010-03
#ORIGINAL ENTRY: Eric C. Smith (maredudd AT blackroot DOT org)
#ORIGINAL ENTRY DATE:2012/12/31

####Block: Exotic Weapons
#------light---------

#-----one handed -------
# Weapon Name		Type
Flickmace			TYPE:Exotic.OneHanded.Melee.Bludgeoning.Reach.Trip

#-----two handed -------
Scarf (Bladed)		TYPE:Exotic
Battle Ladder		TYPE:Exotic.TwoHanded.Melee.Bludgeoning.Trip
Flailpole			TYPE:Exotic.TwoHanded.Melee.Bludgeoning.Disarm.Trip
Maul (Piston)		TYPE:Exotic.TwoHanded.Melee.Bludgeoning
Glaive (Ripsaw)		TYPE:Exotic.TwoHanded.Melee.Slashing

#-----ranged -------
Flask Thrower		TYPE:Exotic.Ranged
Javelin (Shrillshaft)	TYPE:Exotic.Ranged.Piercing
