#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Mon Feb  9 18:51:00 2015 -- reformated by PCGen PrettyLST v6.04.01
SOURCELONG:Pathfinder Player Companion: Varisia, Birthplace of Legends	SOURCESHORT:VBOL	SOURCEWEB:http://paizo.com/products/btpy8tim	SOURCEDATE:2012-9
# Original Entry by: John Mooney (SLoPPYALieN)

# Skill Name			Situational Skill
Bluff.MOD				SITUATION:Pass Hidden Message/Ameiko
Bluff.MOD				SITUATION:Pass Hidden Message/Koya
Bluff.MOD				SITUATION:Pass Hidden Message/Sandru
Bluff.MOD				SITUATION:Pass Hidden Message/Shalelu

Diplomacy.MOD			SITUATION:In Magnimar
Diplomacy.MOD			SITUATION:Aberrations
Diplomacy.MOD			SITUATION:Monstrous Humanoids
Diplomacy.MOD			SITUATION:Undead
Diplomacy.MOD			SITUATION:Giant subtype

Heal.MOD				SITUATION:Alcoholic Beverage
Heal.MOD				SITUATION:Alcoholic Beverage/Ameiko
Heal.MOD				SITUATION:Alcoholic Beverage/Sandru

Intimidate.MOD			SITUATION:In Magnimar

Knowledge (Geography).MOD	SITUATION:Varisia

Knowledge (History).MOD		SITUATION:Magnimar
Knowledge (History).MOD		SITUATION:Varisia

Knowledge (Local).MOD		SITUATION:Local Know-It-All

Perception.MOD			SITUATION:In dim light
Perception.MOD			SITUATION:At night
Perception.MOD			SITUATION:Notice valuable trade goods
Perception.MOD			SITUATION:Distinguish statue-like creatures

Survival.MOD			SITUATION:Varisia
