#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Wed Feb  3 13:52:26 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Advanced Race Guide	SOURCESHORT:ARG	SOURCEWEB:http://paizo.com/products/btpy8rv2?Pathfinder-Roleplaying-Game-Advanced-Race-Guide	SOURCEDATE:2012-06

###Block: Core Races
# Race Name		Type		Source Page
Dwarf.MOD		TYPE:Core	SOURCEPAGE:p.10
Elf.MOD		TYPE:Core	SOURCEPAGE:p.20
Gnome.MOD		TYPE:Core	SOURCEPAGE:p.30
Half-Elf.MOD	TYPE:Core	SOURCEPAGE:p.40
Half-Orc.MOD	TYPE:Core	SOURCEPAGE:p.50
Halfling.MOD	TYPE:Core	SOURCEPAGE:p.60
Human.MOD		TYPE:Core	SOURCEPAGE:p.70

###Block: Featured Races
# Race Name		Type			Source Page
Aasimar.MOD		TYPE:Featured	SOURCEPAGE:p.85
Catfolk.MOD		TYPE:Featured	SOURCEPAGE:p.91
Dhampir.MOD		TYPE:Featured	SOURCEPAGE:p.97
Drow.MOD		TYPE:Featured	SOURCEPAGE:p.103
Fetchling.MOD	TYPE:Featured	SOURCEPAGE:p.109
Goblin.MOD		TYPE:Featured	SOURCEPAGE:p.115
Hobgoblin.MOD	TYPE:Featured	SOURCEPAGE:p.121
Ifrit.MOD		TYPE:Featured	SOURCEPAGE:p.127
Kobold.MOD		TYPE:Featured	SOURCEPAGE:p.133
Orc.MOD		TYPE:Featured	SOURCEPAGE:p.139
Oread.MOD		TYPE:Featured	SOURCEPAGE:p.145
Ratfolk.MOD		TYPE:Featured	SOURCEPAGE:p.151
Sylph.MOD		TYPE:Featured	SOURCEPAGE:p.157
Tengu.MOD		TYPE:Featured	SOURCEPAGE:P.163
Tiefling.MOD	TYPE:Featured	SOURCEPAGE:P.169
Undine.MOD		TYPE:Featured	SOURCEPAGE:p.175

###Block: Uncommon Races
# Race Name		Type			Source Page
Changeling.MOD	TYPE:Uncommon	SOURCEPAGE:p.184
Duergar.MOD		TYPE:Uncommon	SOURCEPAGE:p.186
Gillman.MOD		TYPE:Uncommon	SOURCEPAGE:p.188
Grippli.MOD		TYPE:Uncommon	SOURCEPAGE:p.190
Kitsune.MOD		TYPE:Uncommon	SOURCEPAGE:p.192
Merfolk.MOD		TYPE:Uncommon	SOURCEPAGE:p.194
Nagaji.MOD		TYPE:Uncommon	SOURCEPAGE:p.196
Samsaran.MOD	TYPE:Uncommon	SOURCEPAGE:p.198
Strix.MOD		TYPE:Uncommon	SOURCEPAGE:p.200
Suli.MOD		TYPE:Uncommon	SOURCEPAGE:p.202
Svirfneblin.MOD	TYPE:Uncommon	SOURCEPAGE:p.204
Vanara.MOD		TYPE:Uncommon	SOURCEPAGE:p.206
Vishkanya.MOD	TYPE:Uncommon	SOURCEPAGE:p.208
Wayang.MOD		TYPE:Uncommon	SOURCEPAGE:p.274

###Block: Race Builder
# Race Name		Unique Key	Starting Feats	Base size		Move			Ability									FACT
Race Builder	KEY:Race	STARTFEATS:1	FACT:BaseSize|T	MOVE:Walk,30	ABILITY:Internal|AUTOMATIC|Rules ~ Use Race Builder System	FACT:IsPC|true
