SOURCELONG:Bestiary	SOURCESHORT:B1	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8auu	SOURCEDATE:2009-10

# Language			Type
Aboleth			TYPE:Spoken.Written.Read
Boggard			TYPE:Spoken.Written.Read
Cyclops			TYPE:Spoken.Written.Read
Dark Folk			TYPE:Spoken.Written.Read
Drow				TYPE:Spoken.Written.Read
Drow Sign Language	TYPE:Spoken.Written.Read.Secret
Pidgin of Giant		TYPE:Spoken
Sahuagin			TYPE:Spoken.Written.Read
Sphinx			TYPE:Spoken.Written.Read
Tengu				TYPE:Spoken.Written.Read
Treant			TYPE:Spoken.Written.Read
Vegepygmy			TYPE:Spoken
Worg				TYPE:Spoken.Written.Read
