

# ------------------------------
# Monkey Goblin
# ------------------------------

###Block: Racial Identifiers
# Name					Dataformat			Required	Selectable		Visible	Displayname				Explanation
FACTDEF:TEMPLATE|IsMonkeyGoblin	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Monkey Goblin	EXPLANATION:Determines whether the character is a Monkey Goblin

###Block: Racial Traits
# Name								Dataformat			Required	Selectable		Visible	Displayname								Explanation
FACTDEF:ABILITY|MonkeyGoblin_ReplaceAbilityScores	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Monkey Goblin Ability Scores	EXPLANATION:Replaces the Dual Talent Racial Trait
FACTDEF:ABILITY|MonkeyGoblin_ReplaceType			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Monkey Goblin Type			EXPLANATION:Replaces the Type Racial Trait
FACTDEF:ABILITY|MonkeyGoblin_ReplaceSize			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Monkey Goblin Size			EXPLANATION:Replaces the Size Racial Trait
FACTDEF:ABILITY|MonkeyGoblin_ReplaceSpeed			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Monkey Goblin Speed			EXPLANATION:Replaces the Speed Racial Trait
FACTDEF:ABILITY|MonkeyGoblin_ReplaceVision		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Monkey Goblin Vision			EXPLANATION:Replaces the Vision Racial Trait
FACTDEF:ABILITY|MonkeyGoblin_ReplaceAcrobatic		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Monkey Goblin Acrobatic		EXPLANATION:Replaces the Acrobatic Racial Trait
FACTDEF:ABILITY|MonkeyGoblin_ReplaceFearless		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Monkey Goblin Fearless		EXPLANATION:Replaces the Fearless Racial Trait
FACTDEF:ABILITY|MonkeyGoblin_ReplaceNaturalClimber	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Monkey Goblin Natural Climber	EXPLANATION:Replaces the Natural Climber Racial Trait
FACTDEF:ABILITY|MonkeyGoblin_ReplacePrehensileTail	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Monkey Goblin Prehensile Tail	EXPLANATION:Replaces the Prehensile Tail Racial Trait
FACTDEF:ABILITY|MonkeyGoblin_ReplaceLanguages		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Monkey Goblin Languages		EXPLANATION:Replaces the Languages Racial Trait
