

# ------------------------------
# Syrinx
# ------------------------------

###Block: Racial Identifiers
# Name				Dataformat			Required	Selectable		Visible	Displayname			Explanation
FACTDEF:TEMPLATE|IsSyrinx	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Syrinx	EXPLANATION:Determines whether the character is a Syrinx

###Block: Racial Traits
# Name							Dataformat			Required	Selectable		Visible	Displayname							Explanation
FACTDEF:ABILITY|Syrinx_ReplaceAbilityScores	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Ability Scores		EXPLANATION:Replaces the Dual Talent Racial Trait
FACTDEF:ABILITY|Syrinx_ReplaceType			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Type			EXPLANATION:Replaces the Type Racial Trait
FACTDEF:ABILITY|Syrinx_ReplaceSize			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Size			EXPLANATION:Replaces the Size Racial Trait
FACTDEF:ABILITY|Syrinx_ReplaceSpeed			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Speed			EXPLANATION:Replaces the Speed Racial Trait
FACTDEF:ABILITY|Syrinx_ReplaceFlight		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Flight			EXPLANATION:Replaces the Flight Racial Trait
FACTDEF:ABILITY|Syrinx_ReplaceLowLightVision	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Low-Light Vision	EXPLANATION:Replaces the Low-Light Vision Racial Trait
FACTDEF:ABILITY|Syrinx_ReplaceDarkvision		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Darkvision		EXPLANATION:Replaces the Darkvision Racial Trait
FACTDEF:ABILITY|Syrinx_ReplaceNocturnal		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Nocturnal		EXPLANATION:Replaces the Nocturnal Racial Trait
FACTDEF:ABILITY|Syrinx_ReplacePride			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Pride			EXPLANATION:Replaces the Pride Racial Trait
FACTDEF:ABILITY|Syrinx_ReplaceSpeakWithAvians	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Speak with Avians	EXPLANATION:Replaces the Speak with Avians Racial Trait
FACTDEF:ABILITY|Syrinx_ReplaceLanguages		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Syrinx Languages		EXPLANATION:Replaces the Languages Racial Trait
