# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
#SOURCELONG:Ultimate Magic	SOURCESHORT:UM	SOURCEWEB:http://paizo.com/pathfinderRPG/v5748btpy8g7s	SOURCEDATE:2011-05
# CVS $Revision: 21421 $ $Author: evilmynex $ -- Wed Sep 18 14:31:37 2013 -- reformated by prettylst.pl v1.50 (build 21406)

# ORIGINAL ENTRY: Stefan Radermacher, Eric Smith (Maredudd), and Douglas Limmer
# ORIGINAL ENTRY DATE: Unknown

###Block: Words of Power base category
# Ability Category			Visible	Editable?		Change Pool?	Fractional values?	Category of Object
ABILITYCATEGORY:Words of Power	VISIBLE:NO	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power

###Block: Words of Power categories
#Block: Alchemist Words
# Ability Category				Visible		Editable?		Change Pool?	Fractional values?	Category of Object	Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:1st-Level Alchemist Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Alchemist1.MetaLevel1	PLURAL:1st-Level Alchemist Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Alchemist Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Alchemist2.MetaLevel2	PLURAL:2nd-Level Alchemist Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Alchemist Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Alchemist3.MetaLevel3	PLURAL:3rd-Level Alchemist Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Alchemist Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Alchemist4.MetaLevel4	PLURAL:4th-Level Alchemist Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Alchemist Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Alchemist5.MetaLevel5	PLURAL:5th-Level Alchemist Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Alchemist Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Alchemist6.MetaLevel6	PLURAL:6th-Level Alchemist Words	DISPLAYLOCATION:Class Abilities

#Block: Bard Words
ABILITYCATEGORY:0-Level Bard Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Bard0.MetaLevel0		PLURAL:0-Level Bard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:1st-Level Bard Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Bard1.MetaLevel1		PLURAL:1st-Level Bard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Bard Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Bard2.MetaLevel2		PLURAL:2nd-Level Bard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Bard Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Bard3.MetaLevel3		PLURAL:3rd-Level Bard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Bard Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Bard4.MetaLevel4		PLURAL:4th-Level Bard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Bard Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Bard5.MetaLevel5		PLURAL:5th-Level Bard Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Bard Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Bard6.MetaLevel6		PLURAL:6th-Level Bard Words		DISPLAYLOCATION:Class Abilities

#Block: Cleric Words
ABILITYCATEGORY:0-Level Cleric Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Cleric0.MetaLevel0		PLURAL:0-Level Cleric Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:1st-Level Cleric Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Cleric1.MetaLevel1		PLURAL:1st-Level Cleric Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Cleric Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Cleric2.MetaLevel2		PLURAL:2nd-Level Cleric Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Cleric Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Cleric3.MetaLevel3		PLURAL:3rd-Level Cleric Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Cleric Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Cleric4.MetaLevel4		PLURAL:4th-Level Cleric Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Cleric Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Cleric5.MetaLevel5		PLURAL:5th-Level Cleric Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Cleric Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Cleric6.MetaLevel6		PLURAL:6th-Level Cleric Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:7th-Level Cleric Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Cleric7.MetaLevel7		PLURAL:7th-Level Cleric Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:8th-Level Cleric Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Cleric8.MetaLevel8		PLURAL:8th-Level Cleric Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:9th-Level Cleric Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Cleric9.MetaLevel9		PLURAL:9th-Level Cleric Words		DISPLAYLOCATION:Class Abilities

#Block: Druid Words
ABILITYCATEGORY:0-Level Druid Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Druid0.MetaLevel0		PLURAL:0-Level Druid Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:1st-Level Druid Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Druid1.MetaLevel1		PLURAL:1st-Level Druid Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Druid Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Druid2.MetaLevel2		PLURAL:2nd-Level Druid Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Druid Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Druid3.MetaLevel3		PLURAL:3rd-Level Druid Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Druid Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Druid4.MetaLevel4		PLURAL:4th-Level Druid Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Druid Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Druid5.MetaLevel5		PLURAL:5th-Level Druid Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Druid Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Druid6.MetaLevel6		PLURAL:6th-Level Druid Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:7th-Level Druid Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Druid7.MetaLevel7		PLURAL:7th-Level Druid Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:8th-Level Druid Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Druid8.MetaLevel8		PLURAL:8th-Level Druid Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:9th-Level Druid Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Druid9.MetaLevel9		PLURAL:9th-Level Druid Words		DISPLAYLOCATION:Class Abilities

#Block: Inquisitor Words
ABILITYCATEGORY:0-Level Inquisitor Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Inquisitor0.MetaLevel0	PLURAL:0-Level Inquisitor Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:1st-Level Inquisitor Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Inquisitor1.MetaLevel1	PLURAL:1st-Level Inquisitor Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Inquisitor Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Inquisitor2.MetaLevel2	PLURAL:2nd-Level Inquisitor Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Inquisitor Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Inquisitor3.MetaLevel3	PLURAL:3rd-Level Inquisitor Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Inquisitor Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Inquisitor4.MetaLevel4	PLURAL:4th-Level Inquisitor Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Inquisitor Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Inquisitor5.MetaLevel5	PLURAL:5th-Level Inquisitor Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Inquisitor Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Inquisitor6.MetaLevel6	PLURAL:6th-Level Inquisitor Words	DISPLAYLOCATION:Class Abilities

#Block: Magus Words
ABILITYCATEGORY:0-Level Magus Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Magus0.MetaLevel0		PLURAL:0-Level Magus Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:1st-Level Magus Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Magus1.MetaLevel1		PLURAL:1st-Level Magus Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Magus Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Magus2.MetaLevel2		PLURAL:2nd-Level Magus Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Magus Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Magus3.MetaLevel3		PLURAL:3rd-Level Magus Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Magus Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Magus4.MetaLevel4		PLURAL:4th-Level Magus Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Magus Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Magus5.MetaLevel5		PLURAL:5th-Level Magus Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Magus Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Magus6.MetaLevel6		PLURAL:6th-Level Magus Words		DISPLAYLOCATION:Class Abilities

#Block: Oracle Words
