# CVS $Revision: $ $Author: $ -- Fri Jun 30 20:50:52 2017 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Ultimate Wilderness	SOURCESHORT:UW	SOURCEWEB:http://paizo.com/products/btpy9ujo	SOURCEDATE:2017-11

# Skill Name			Situational Skill
Acrobatics.MOD			SITUATION:On or near flowing water
Acrobatics.MOD			SITUATION:Move between/through trees
Bluff.MOD				SITUATION:Create Distraction
Bluff.MOD				SITUATION:Mimic animal sounds
Climb.MOD				SITUATION:In forests
Climb.MOD				SITUATION:Up trees
Knowledge (geography).MOD	SITUATION:In mountains
Knowledge (geography).MOD	SITUATION:In swamps
Knowledge (geography).MOD	SITUATION:On or near flowing water
Knowledge (nature).MOD		SITUATION:Fey Courts and Fey Courtiers
Knowledge (nature).MOD		SITUATION:In Favored Terrain
Knowledge (nobility).MOD	SITUATION:Fey Courts and Fey Courtiers
Perception.MOD			SITUATION:In swamps
Perception.MOD			SITUATION:On or near flowing water
Perception.MOD			SITUATION:Smell- taste- and touch-based
Perception.MOD			SITUATION:Warm deserts, hills, and mountains
Profession (herbalist).MOD	SITUATION:Find herbs
Ride.MOD				SITUATION:Warm deserts, hills, and mountains
Sleight of Hand.MOD		SITUATION:Pick Pockets
Stealth.MOD				SITUATION:In areas of fog/mist/smoke/heavy spray
Stealth.MOD				SITUATION:On or near flowing water
Stealth.MOD				SITUATION:Warm deserts, hills, and mountains
Survival.MOD			SITUATION:Avoid Natural Hazards
Survival.MOD			SITUATION:Follow or identify tracks/Deserts
Survival.MOD			SITUATION:In Favored Terrain
Survival.MOD			SITUATION:In mountains
Survival.MOD			SITUATION:On or near flowing water
Swim.MOD				SITUATION:On or near flowing water

