# CVS $Revision: $ $Author: $ -- Sat Nov 23 14:46:39 2013 -- reformated by prettylst.pl v1.50 (build 22134)
SOURCELONG:Adventurer's Handbook: Genius Guide Volume 1	SOURCESHORT:SGGAH	SOURCEDATE:2010-04
# Original Entry by: Paul Shipley (elro the onk)

#Spell Name					Classes of caster
#Archon spells
#0
# Spell Name					Classes of caster
Arcane Mark.MOD					CLASSES:Archon=0
Dancing Lights.MOD				CLASSES:Archon=0
Detect Magic.MOD					CLASSES:Archon=0
Disrupt Undead.MOD				CLASSES:Archon=0
Flare.MOD						CLASSES:Archon=0
Ghost Sound.MOD					CLASSES:Archon=0
Light.MOD						CLASSES:Archon=0
Mending.MOD						CLASSES:Archon=0
Message.MOD						CLASSES:Archon=0
Open/Close.MOD					CLASSES:Archon=0
Prestidigitation.MOD				CLASSES:Archon=0
Read Magic.MOD					CLASSES:Archon=0
Resistance.MOD					CLASSES:Archon=0
Touch of Fatigue.MOD				CLASSES:Archon=0
#1
Alarm.MOD						CLASSES:Archon=1
Animate Rope.MOD					CLASSES:Archon=1
Burning Hands.MOD					CLASSES:Archon=1
Charm Person.MOD					CLASSES:Archon=1
Chill Touch.MOD					CLASSES:Archon=1
Comprehend Languages.MOD			CLASSES:Archon=1
Detect Secret Doors.MOD				CLASSES:Archon=1
Detect Undead.MOD					CLASSES:Archon=1
Disguise Self.MOD					CLASSES:Archon=1
Endure Elements.MOD				CLASSES:Archon=1
Enlarge Person.MOD				CLASSES:Archon=1
Erase.MOD						CLASSES:Archon=1
Feather Fall.MOD					CLASSES:Archon=1
Floating Disk.MOD					CLASSES:Archon=1
Grease.MOD						CLASSES:Archon=1
Hold Portal.MOD					CLASSES:Archon=1
Jump.MOD						CLASSES:Archon=1
Magic Aura.MOD					CLASSES:Archon=1
Magic Missile.MOD					CLASSES:Archon=1
Magic Weapon.MOD					CLASSES:Archon=1
Mount.MOD						CLASSES:Archon=1
Obscuring Mist.MOD				CLASSES:Archon=1
Protection from Chaos.MOD			CLASSES:Archon=1
Protection from Evil.MOD			CLASSES:Archon=1
Protection from Good.MOD			CLASSES:Archon=1
Protection from Law.MOD				CLASSES:Archon=1
Ray of Enfeeblement.MOD				CLASSES:Archon=1
Shield.MOD						CLASSES:Archon=1
Shocking Grasp.MOD				CLASSES:Archon=1
Silent Image.MOD					CLASSES:Archon=1
Ventriloquism.MOD					CLASSES:Archon=1
#2
Acid Arrow.MOD					CLASSES:Archon=2
Alter Self.MOD					CLASSES:Archon=2
Bear's Endurance.MOD				CLASSES:Archon=2
Blindness/Deafness.MOD				CLASSES:Archon=2
Blur.MOD						CLASSES:Archon=2
Bull's Strength.MOD				CLASSES:Archon=2
Cat's Grace.MOD					CLASSES:Archon=2
Darkness.MOD					CLASSES:Archon=2
Darkvision.MOD					CLASSES:Archon=2
Detect Thoughts.MOD				CLASSES:Archon=2
Eagle's Splendor.MOD				CLASSES:Archon=2
Fog Cloud.MOD					CLASSES:Archon=2
Fox's Cunning.MOD					CLASSES:Archon=2
Ghoul Touch.MOD					CLASSES:Archon=2
Glitterdust.MOD					CLASSES:Archon=2
Gust of Wind.MOD					CLASSES:Archon=2
Hypnotic Pattern.MOD				CLASSES:Archon=2
Invisibility.MOD					CLASSES:Archon=2
Knock.MOD						CLASSES:Archon=2
Levitate.MOD					CLASSES:Archon=2
Locate Object.MOD					CLASSES:Archon=2
Make Whole.MOD					CLASSES:Archon=2
Minor Image.MOD					CLASSES:Archon=2
Mirror Image.MOD					CLASSES:Archon=2
Obscure Object.MOD				CLASSES:Archon=2
Owl's Wisdom.MOD					CLASSES:Archon=2
Protection from Arrows.MOD			CLASSES:Archon=2
