# CVS $Revision: $ $Author: $ -- Wed Dec 10 01:48:21 2014 -- reformated by prettylst.pl v1.51 (build 25712)
SOURCELONG:Inner Sea World Guide	SOURCESHORT:ISWG	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderChronicles/v5748btpy8ief	SOURCEDATE:2011-03
# Original Entry by: Paul Shipley


# Equipment Name			Type
Charm of Aluum Control.MOD	TYPE:PFSNotLegal
Goz Mask.MOD			TYPE:PFSLegal
Mask of the Mantis.MOD		TYPE:PFSNotLegal
Unguent of Revivification.MOD	TYPE:PFSLegal
Wayfinder.MOD			TYPE:PFSLegal
Zoic Fetish (Mammal).MOD	TYPE:PFSLegal
Zoic Fetish (Bird).MOD		TYPE:PFSLegal
Zoic Fetish (Reptile).MOD	TYPE:PFSLegal
Zoic Fetish (Amphibian).MOD	TYPE:PFSLegal
Zoic Fetish (Fish).MOD		TYPE:PFSLegal
Final Blade.MOD			TYPE:PFSNotLegal
Sun Orchid Elixir.MOD		TYPE:PFSNotLegal
Wardstone.MOD			TYPE:PFSNotLegal
