#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00

# Racial Traits
# Ability Category					Visible		Editable?		Change Pool?	Category of Object	Type of Object				Display Location
ABILITYCATEGORY:Barathu Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Barathu Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Contemplative Racial Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Contemplative Racial Trait	DISPLAYLOCATION:Character
ABILITYCATEGORY:Draelik Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Draelik Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Dragonkin Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Dragonkin Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Drow Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Drow Racial Trait			DISPLAYLOCATION:Character
ABILITYCATEGORY:Formian Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Formian Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Space_Goblin Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Space_Goblin Racial Trait	DISPLAYLOCATION:Character
ABILITYCATEGORY:Gray Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Gray Racial Trait			DISPLAYLOCATION:Character
ABILITYCATEGORY:Haan Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Haan Racial Trait			DISPLAYLOCATION:Character
ABILITYCATEGORY:Ikeshti Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Ikeshti Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Kalo Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Kalo Racial Trait			DISPLAYLOCATION:Character
ABILITYCATEGORY:Maraquoi Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Maraquoi Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Nuar Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Nuar Racial Trait			DISPLAYLOCATION:Character
ABILITYCATEGORY:Reptoid Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Reptoid Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Ryphorian Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Ryphorian Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Sarcesian Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Sarcesian Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Shobhad Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Shobhad Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Skittermander Racial Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Skittermander Racial Trait	DISPLAYLOCATION:Character
ABILITYCATEGORY:Urog Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Urog Racial Trait			DISPLAYLOCATION:Character
ABILITYCATEGORY:Verthani Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Verthani Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Witchwyrd Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Witchwyrd Racial Trait		DISPLAYLOCATION:Character
ABILITYCATEGORY:Wrikreechee Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Wrikreechee Racial Trait		DISPLAYLOCATION:Character
