SOURCELONG:Starfinder Armory	SOURCESHORT:SPW	SOURCEWEB:http://paizo.com/products/btpya1rr?Starfinder-Armory	SOURCEDATE:2018-10
# Original Entry by: bigrin42

###Block:BASIC MELEE WEAPONS
# One-Handed Weapons
# Uncategorized
Handaxe, basic	KEY:Handaxe (basic)		PROFICIENCY:WEAPON|Handaxe (basic)	MODIFY:ItemLevel|SET|1	QUALITY:Level|1	COST:90	PART:1|MODIFY:Damage|SET|1d4 	DAMAGE:1d4 	TYPE:RESIZABLE.Slashing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr		WIELD:OneHanded		QUALITY:Critical|-		QUALITY:Bulk|L	BONUS:VAR|BulkLight|1	WT:0.1	SPROP:Analog, thrown (20 ft.)
Sap, light	KEY:Sap (light)		PROFICIENCY:WEAPON|Sap (light)	MODIFY:ItemLevel|SET|2	QUALITY:Level|2	COST:450	PART:1|MODIFY:Damage|SET|1d4 	DAMAGE:1d4 	TYPE:RESIZABLE.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr.Operative		WIELD:OneHanded		QUALITY:Critical|-		QUALITY:Bulk|L		BONUS:VAR|BulkLight|1	WT:0.1	SPROP:Analog, nonlethal, operative
Sledge	KEY:Sledge		PROFICIENCY:WEAPON|Sledge		MODIFY:ItemLevel|SET|3		QUALITY:Level|3		COST:1050		PART:1|MODIFY:Damage|SET|1d8 	DAMAGE:1d8		TYPE:RESIZABLE.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr		WIELD:OneHanded		QUALITY:Critical|-		QUALITY:Bulk|1		BONUS:VAR|Bulk|1		WT:1		SPROP:Analog, unwieldy
Switchblade, tactical	KEY:Switchblade (tactical)		PROFICIENCY:WEAPON|Switchblade (tactical)		MODIFY:ItemLevel|SET|3		QUALITY:Level|3		COST:1300		PART:1|MODIFY:Damage|SET|1d4 	DAMAGE:1d4		TYPE:RESIZABLE.Slashing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr.Operative		WIELD:OneHanded		QUALITY:Critical|-		QUALITY:Bulk|L		BONUS:VAR|BulkLight|1		WT:0.1		SPROP:Analog, conceal, operative
Handaxe, tactical	KEY:Handaxe (tactical)		PROFICIENCY:WEAPON|Handaxe (tactical)		MODIFY:ItemLevel|SET|4		QUALITY:Level|4		COST:1825		PART:1|MODIFY:Damage|SET|1d6 	DAMAGE:1d6 	TYPE:RESIZABLE.Slashing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr		WIELD:OneHanded		QUALITY:Critical|-		QUALITY:Bulk|L		BONUS:VAR|BulkLight|1		WT:0.1		SPROP:Analog, thrown (20 ft.)
Tailblade	KEY:Tailblade		PROFICIENCY:WEAPON|Tailblade		MODIFY:ItemLevel|SET|4		QUALITY:Level|4		COST:2300		PART:1|MODIFY:Damage|SET|1d4 	DAMAGE:1d4 	TYPE:RESIZABLE.Slashing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr.Operative		WIELD:OneHanded		QUALITY:Critical|-		QUALITY:Bulk|L		BONUS:VAR|BulkLight|1		WT:0.1		SPROP:Analog, operative, tail
#TODO: Implement conceal, integrated
Retractable spike, tactical	KEY:Retractable spike (tactical)		PROFICIENCY:WEAPON|Retractable spike (tactical)		MODIFY:ItemLevel|SET|5		QUALITY:Level|5		COST:3150		PART:1|MODIFY:Damage|SET|1d4 	DAMAGE:1d4 	TYPE:RESIZABLE.Piercing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr.Operative		WIELD:OneHanded		QUALITY:Critical|-		QUALITY:Bulk|L		BONUS:VAR|BulkLight|1		WT:0.1		SPROP:Conceal, integrated (1 slot), operative
Spined blade, basic	KEY:Spined blade (basic)		PROFICIENCY:WEAPON|Spined blade (basic)		MODIFY:ItemLevel|SET|5		QUALITY:Level|5		COST:2600		PART:1|MODIFY:Damage|SET|1d6 	DAMAGE:1d6 	TYPE:RESIZABLE.Piercing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr		WIELD:OneHanded		QUALITY:Critical|Injection DC+2		QUALITY:Bulk|L		BONUS:VAR|BulkLight|1		WT:0.1		SPROP:Analog
Sap, medium		KEY:Sap (medium)		PROFICIENCY:WEAPON|Sap (medium)		MODIFY:ItemLevel|SET|6		QUALITY:Level|6		COST:3900		PART:1|MODIFY:Damage|SET|1d6		DAMAGE:1d6		TYPE:RESIZABLE.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr.Operative		WIELD:OneHanded		QUALITY:Critical|-		QUALITY:Bulk|L		BONUS:VAR|BulkLight|1	WT:0.1	SPROP:Analog, nonlethal, operative
Shell knuckles, tactical		KEY:Shell knuckles (tactical)		PROFICIENCY:WEAPON|Shell knuckles (tactical)		MODIFY:ItemLevel|SET|6		QUALITY:Level|6		COST:4050		PART:1|MODIFY:Damage|SET|3d4 	DAMAGE:3d4 	TYPE:RESIZABLE.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr		WIELD:OneHanded		QUALITY:Critical|-		QUALITY:Bulk|L		BONUS:VAR|BulkLight|1		WT:0.1		SPROP:Analog, shells (1, usage 1)
