#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
SOURCELONG:Starfinder Core Rulebook	SOURCESHORT:SCR	SOURCEDATE:2017-09
# Original Entry by: Andrew Maitland, and Gwen T

# TYPE:Coin required for OS
# Equipment Name	Type			Cost
Cred Stick		TYPE:Credit.Coin	COST:1
Credit		TYPE:Credit.Coin	COST:1


###Block:BASIC MELEE WEAPONS
#Weapon


# One-Handed Weapons
# Equipment Name			Unique Key					Required Weapon Proficiency					Type																															Cost		Weight	Damage	Wield Category	Modify VAR			Quality and value									Special Property									MODIFY			PART
Unarmed strike			KEY:Unarmed strike			PROFICIENCY:WEAPON|Unarmed strike				TYPE:RESIZABLE.Weapon.Melee.Prof Group Basic Melee.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr					COST:0			DAMAGE:1d3	WIELD:OneHanded					QUALITY:Level|0	QUALITY:Critical|-	QUALITY:Bulk|-		SPROP:Archaic.nonlethal								MODIFY:ItemLevel|SET|0	PART:1|MODIFY:Damage|SET|1d3
Club					KEY:Club					PROFICIENCY:WEAPON|Club						TYPE:RESIZABLE.Weapon.Melee.Prof Group Basic Melee.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr					COST:0	WT:0.1	DAMAGE:1d6	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|0	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Analog.archaic								MODIFY:ItemLevel|SET|0	PART:1|MODIFY:Damage|SET|1d6

Battleglove, cestus		KEY:Battleglove (cestus)		PROFICIENCY:WEAPON|Battleglove (cestus)			TYPE:RESIZABLE.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr											COST:100	WT:0.1	DAMAGE:1d4	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Analog									MODIFY:ItemLevel|SET|1	PART:1|MODIFY:Damage|SET|1d4

Battleglove, power		KEY:Battleglove (power)			PROFICIENCY:WEAPON|Battleglove (power)			TYPE:RESIZABLE.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr											COST:16100	WT:0.1	DAMAGE:2d8	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|10	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Powered (capacity 20, usage 1)					MODIFY:ItemLevel|SET|10	PART:1|MODIFY:Damage|SET|2d8
Dueling sword, ultrathin	KEY:Dueling sword (ultrathin)		PROFICIENCY:WEAPON|Dueling sword (ultrathin)		TYPE:RESIZABLE.Slashing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr											COST:26000	WT:0.1	DAMAGE:3d6	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|11	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Analog									MODIFY:ItemLevel|SET|11	PART:1|MODIFY:Damage|SET|3d6
Dueling sword, tactical		KEY:Dueling sword (tactical)		PROFICIENCY:WEAPON|Dueling sword (tactical)		TYPE:RESIZABLE.Slashing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr											COST:475	WT:0.1	DAMAGE:1d6	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Analog									MODIFY:ItemLevel|SET|2	PART:1|MODIFY:Damage|SET|1d6
Dueling sword, buzzblade	KEY:Dueling sword (buzzblade)		PROFICIENCY:WEAPON|Dueling sword (buzzblade)		TYPE:RESIZABLE.Slashing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr											COST:9500	WT:0.1	DAMAGE:2d6	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Powered (capacity 20, usage 1)					MODIFY:ItemLevel|SET|8	PART:1|MODIFY:Damage|SET|2d6
Battleglove, nova			KEY:Battleglove (nova)			PROFICIENCY:WEAPON|Battleglove (nova)			TYPE:RESIZABLE.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr											COST:52500	WT:0.1	DAMAGE:3d10	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|13	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Powered (capacity 20, usage 1)					MODIFY:ItemLevel|SET|13	PART:1|MODIFY:Damage|SET|3d10
Battleglove, gravity		KEY:Battleglove (gravity)		PROFICIENCY:WEAPON|Battleglove (gravity)			TYPE:RESIZABLE.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr											COST:214850	WT:0.1	DAMAGE:5d10	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Powered (capacity 20, usage 1)					MODIFY:ItemLevel|SET|17	PART:1|MODIFY:Damage|SET|5d10
Dueling sword, molecular rift	KEY:Dueling sword (molecular rift)	PROFICIENCY:WEAPON|Dueling sword (molecular rift)	TYPE:RESIZABLE.Slashing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr											COST:331200	WT:0.1	DAMAGE:10d6	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|18	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Analog									MODIFY:ItemLevel|SET|18	PART:1|MODIFY:Damage|SET|10d6
Peacemaker				KEY:Peacemaker				PROFICIENCY:WEAPON|Peacemaker					TYPE:RESIZABLE.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.Damage_UseStr.Operative											COST:185300	WT:0.1	DAMAGE:6d6	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|16	QUALITY:Critical|Knockdown	QUALITY:Bulk|L	SPROP:Operative, powered (capacity 20, usage 2), stun			MODIFY:ItemLevel|SET|16	PART:1|MODIFY:Damage|SET|6d6
Dueling sword, ripper		KEY:Dueling sword (ripper)		PROFICIENCY:WEAPON|Dueling sword (ripper)			TYPE:RESIZABLE.Slashing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.ToHit_UseStr.Damage_UseStr											COST:109250	WT:0.1	DAMAGE:7d6	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|15	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Powered (capacity 20, usage 1)					MODIFY:ItemLevel|SET|15	PART:1|MODIFY:Damage|SET|7d6

# Operative sub group
Baton, tactical			KEY:Baton (tactical)			PROFICIENCY:WEAPON|Baton (tactical)				TYPE:RESIZABLE.Bludgeoning.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.Damage_UseStr.Operative											COST:90	WT:0.1	DAMAGE:1d4	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Analog.operative								MODIFY:ItemLevel|SET|1	PART:1|MODIFY:Damage|SET|1d4
Knife, survival			KEY:Knife (survival)			PROFICIENCY:WEAPON|Knife (survival)				TYPE:RESIZABLE.Slashing.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized.Damage_UseStr.Operative											COST:95	WT:0.1	DAMAGE:1d4	WIELD:OneHanded	BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Critical|-	QUALITY:Bulk|L		SPROP:Analog, operative								MODIFY:ItemLevel|SET|1	PART:1|MODIFY:Damage|SET|1d4
