#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00

# Language			Type			Description
Common			TYPE:Default	DESC:Everyone

Akitonian			TYPE:Spoken.World	DESC:(inhabitants of Akiton)
Aklo				TYPE:Spoken.World	DESC:(inhabitants of Aucturn, Dominion of the Black)
Brethedan			TYPE:Spoken.World	DESC:(inhabitants of Bretheda, Liavara, and their moons)
Castrovelian		TYPE:Spoken.World	DESC:also called Lashunta (lashuntas, inhabitants of Castrovel)
Eoxian			TYPE:Spoken.World	DESC:(inhabitants of Eox)
Kasatha			TYPE:Spoken		DESC:(kasathas)
Shirren			TYPE:Spoken		DESC:(shirrens)
Triaxian			TYPE:Spoken.World	DESC:(inhabitants of Triaxus)
Vercite			TYPE:Spoken.World	DESC:(inhabitants of Verces)
Vesk				TYPE:Spoken.World	DESC:(vesk, inhabitants of the Veskarium)
Ysoki				TYPE:Spoken		DESC:(ysoki)
#Lashunta			TYPE:Spoken				DESC:(lashunta)


Abyssal			TYPE:Spoken		DESC:(demons, chaotic evil outsiders, inhabitants of the Abyss)
Aquan				TYPE:Spoken		DESC:(inhabitants of the Plane of Water)
Arkanen			TYPE:Spoken		DESC:(inhabitants of Arkanen and Osoro)
Auran				TYPE:Spoken		DESC:(inhabitants of the Plane of Air)
Azlanti			TYPE:Spoken.World	DESC:(Azlanti, inhabitants of the Azlanti Star Empire)
Celestial			TYPE:Spoken		DESC:(angels, good outsiders, inhabitants of the goodaligned planes)
Draconic			TYPE:Spoken		DESC:(dragons, reptilian humanoids, Triaxian dragonkin)
Drow				TYPE:Spoken.World	DESC:(drow, many residents of Apostae)
Dwarven			TYPE:Spoken		DESC:(dwarves)
Elven				TYPE:Spoken		DESC:(drow, elves, half-elves)
Gnome				TYPE:Spoken		DESC:(gnomes)
Goblin			TYPE:Spoken		DESC:(bugbears, goblins, hobgoblins)
Halfling			TYPE:Spoken		DESC:(halflings)
Ignan				TYPE:Spoken		DESC:(inhabitants of the Plane of Fire)
Infernal			TYPE:Spoken		DESC:(devils, lawful evil outsiders, inhabitants of Hell)
Kalo				TYPE:Spoken.World	DESC:(kalo, inhabitants of Kalo-Mahoi)
Nchaki			TYPE:Spoken		DESC:(inhabitants of Nchak)
Orc				TYPE:Spoken		DESC:(orcs, half-orcs)
Sarcesian			TYPE:Spoken		DESC:(sarcesians)
Shobhad			TYPE:Spoken		DESC:(shobhads)
Terran			TYPE:Spoken		DESC:(inhabitants of the Plane of Earth)

# Understand Language Group

Understand Common		TYPE:Understand	DESC:Everyone
Understand Akitonian	TYPE:Understand	DESC:(inhabitants of Akiton)
Understand Aklo		TYPE:Understand	DESC:(inhabitants of Aucturn, Dominion of the Black)
Understand Brethedan	TYPE:Understand	DESC:(inhabitants of Bretheda, Liavara, and their moons)
Understand Castrovelian	TYPE:Understand	DESC:also called Lashunta (lashuntas, inhabitants of Castrovel)
Understand Eoxian		TYPE:Understand	DESC:(inhabitants of Eox)
Understand Kasatha	TYPE:Understand	DESC:(kasathas)
Understand Shirren	TYPE:Understand	DESC:(shirrens)
Understand Triaxian	TYPE:Understand	DESC:(inhabitants of Triaxus)
Understand Vercite	TYPE:Understand	DESC:(inhabitants of Verces)
Understand Vesk		TYPE:Understand	DESC:(vesk, inhabitants of the Veskarium)
Understand Ysoki		TYPE:Understand	DESC:(ysoki)
Understand Abyssal	TYPE:Understand	DESC:(demons, chaotic evil outsiders, inhabitants of the Abyss)
Understand Aquan		TYPE:Understand	DESC:(inhabitants of the Plane of Water)
Understand Arkanen	TYPE:Understand	DESC:(inhabitants of Arkanen and Osoro)
Understand Auran		TYPE:Understand	DESC:(inhabitants of the Plane of Air)
Understand Azlanti	TYPE:Understand	DESC:(Azlanti, inhabitants of the Azlanti Star Empire)
Understand Celestial	TYPE:Understand	DESC:(angels, good outsiders, inhabitants of the goodaligned planes)
Understand Draconic	TYPE:Understand	DESC:(dragons, reptilian humanoids, Triaxian dragonkin)
Understand Drow		TYPE:Understand	DESC:(drow, many residents of Apostae)
Understand Dwarven	TYPE:Understand	DESC:(dwarves)
Understand Elven		TYPE:Understand	DESC:(drow, elves, half-elves)
Understand Gnome		TYPE:Understand	DESC:(gnomes)
Understand Goblin		TYPE:Understand	DESC:(bugbears, goblins, hobgoblins)
Understand Halfling	TYPE:Understand	DESC:(halflings)
Understand Ignan		TYPE:Understand	DESC:(inhabitants of the Plane of Fire)
Understand Infernal	TYPE:Understand	DESC:(devils, lawful evil outsiders, inhabitants of Hell)
Understand Kalo		TYPE:Understand	DESC:(kalo, inhabitants of Kalo-Mahoi)
Understand Nchaki		TYPE:Understand	DESC:(inhabitants of Nchak)
Understand Orc		TYPE:Understand	DESC:(orcs, half-orcs)
Understand Sarcesian	TYPE:Understand	DESC:(sarcesians)
Understand Shobhad	TYPE:Understand	DESC:(shobhads)
Understand Terran		TYPE:Understand	DESC:(inhabitants of the Plane of Earth)
