Unarmed					TYPE:Unarmed
Solarian Weapon				TYPE:Solarian Weapon.ADVANCED MELEE.ADVANCED MELEE WEAPONS

###Block:BASIC MELEE WEAPONS
Unarmed strike				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Club						TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Baton (tactical)				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Battleglove (cestus)			TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Knife (survival)				TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Dueling sword (tactical)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Knife (tactical)				TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Dueling sword (buzzblade)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Incapacitator				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Battleglove (power)			TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Dueling sword (ultrathin)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Dagger (ultrathin)			TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Battleglove (nova)			TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Dagger (zero-edge)			TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Dueling sword (ripper)			TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Peacemaker					TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Battleglove (gravity)			TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Dagger (molecular rift)			TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Dueling sword (molecular rift)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Baton (advanced)				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
# Two-Handed Weapons
Spear (tactical)				TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Staff (battle)				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Staff (carbon)				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Spear (sentinel)				TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Spear (buzzblade)				TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Spear (zero-edge)				TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Staff (hardlight)				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
Spear (gravity)				TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee.Uncategorized
###Block:ADVANCED MELEE WEAPONS
# One-Handed Weapons
Skyfire sword (tactical)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Skyfire sword (inferno)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Plasma sword (tactical)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Plasma sword (red star)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Plasma sword (yellow star)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Plasma sword (white star)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Plasma sword (blue star)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Shock truncheon (static)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Shock truncheon (aurora)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Shock truncheon (storm)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Shock truncheon (tempest)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Pulse gauntlet (thunderstrike)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Pulse gauntlet (LFD)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Pulse gauntlet (HFD)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Pulse gauntlet (banshee)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Hammer (assault)				TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Longsword					TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Starknife (tactical)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Taclash (standard)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Injection (glove)				TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Fangblade					TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Longsword (sintered)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Starknife (sintered)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Longsword (microserrated)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Hammer (comet)				TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Longsword (ultrathin)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Taclash (numbing)				TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Starknife (accelerated)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Grindblade					TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
