# CVS $Revision$ $Author$ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)

SOURCELONG:Player's Guide to Arcanis	SOURCESHORT:PGtA	SOURCEWEB:http://www.paradigmconcepts.com	SOURCEDATE:2004-06

# Skill Name						Type							Var. Min. Value
Knowledge (Local).MOD												PREVARGTEQ:ProfessionHunterUsable,100
Profession (Hunter).MOD												PREVARGTEQ:ProfessionHunterUsable,100

Knowledge (Arcana).MOD					TYPE:Intelligence.Knowledge.Arcana
Knowledge (Architecture and Engineering).MOD	TYPE:Intelligence.Knowledge.Architecture
Knowledge (Dungeoneering).MOD				TYPE:Intelligence.Knowledge.Dungeoneering
Knowledge (Geography).MOD				TYPE:Intelligence.Knowledge.Geography
Knowledge (History).MOD					TYPE:Intelligence.Knowledge.History
Knowledge (Nature).MOD					TYPE:Intelligence.Knowledge.Nature
Knowledge (Nobility and Royalty).MOD		TYPE:Intelligence.Knowledge.Nobility
Knowledge (Religion).MOD				TYPE:Intelligence.Knowledge.Religion
Knowledge (The Planes).MOD				TYPE:Intelligence.Knowledge.Planes
Knowledge (Psionics).MOD				TYPE:Intelligence.Knowledge.Psionics
