# CVS $Revision$ $Author$ -- Fri Jan  1 12:57:05 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Fantasy Flight Games - Dragonstar - Starfarer's Handbook	SOURCESHORT:StarfarerH	SOURCEWEB:http://www.fantasyflightgames.com/dragonstar.html	SOURCEDATE:2001-12
# 0=LG, 1=LN, 2=LE, 3=NG, 4=TN, 5=NE, 6=CG, 7=CN, 8=CE

# Deity Name	Product Identity?	Domains																											Description of Deity/Title	FACTSET				Deity Weapon				Align		Source Page
The Destroyer	NAMEISPI:NO		DOMAINS:Chaos,Death,Destruction,Evil,War|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE																DESC:The Destroyer		FACTSET:Pantheon|Dragonstar	DEITYWEAP:Morningstar			ALIGN:CE	SOURCEPAGE:p.39
The Father		NAMEISPI:NO		DOMAINS:Good,Healing,Knowledge,Law,War|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE																DESC:The Father			FACTSET:Pantheon|Dragonstar	DEITYWEAP:Mace				ALIGN:LG	SOURCEPAGE:p.39
The Judge		NAMEISPI:NO		DOMAINS:Destruction,Good,Knowledge,Law,Protection|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE														DESC:The Judge			FACTSET:Pantheon|Dragonstar	DEITYWEAP:Hammer (Light)|Warhammer	ALIGN:LG	SOURCEPAGE:p.39
The Lover		NAMEISPI:NO		DOMAINS:Animal,Good,Healing,Protection,Water|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Lover			FACTSET:Pantheon|Dragonstar	DEITYWEAP:Dagger				ALIGN:NG	SOURCEPAGE:p.39
The Magus		NAMEISPI:NO		DOMAINS:Knowledge,Luck,Magic,Protection,Trickery|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE														DESC:The Magus			FACTSET:Pantheon|Dragonstar	DEITYWEAP:Quarterstaff			ALIGN:TN	SOURCEPAGE:p.39
The Merchant	NAMEISPI:NO		DOMAINS:Knowledge,Law,Luck,Travel,Trickery|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Merchant			FACTSET:Pantheon|Dragonstar	DEITYWEAP:Shortspear			ALIGN:LN	SOURCEPAGE:p.39
The Mother		NAMEISPI:NO		DOMAINS:Animal,Earth,Good,Plant,Protection|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Mother			FACTSET:Pantheon|Dragonstar	DEITYWEAP:Sickle				ALIGN:CG	SOURCEPAGE:p.39
The Reaper		NAMEISPI:NO		DOMAINS:Death,Earth,Evil,Law,Trickery|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE																DESC:The Reaper			FACTSET:Pantheon|Dragonstar	DEITYWEAP:Scythe				ALIGN:LE	SOURCEPAGE:p.39
The Stormlord	NAMEISPI:NO		DOMAINS:Air,Chaos,Destruction,Travel,Water|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Stormlord		FACTSET:Pantheon|Dragonstar	DEITYWEAP:Trident				ALIGN:CN	SOURCEPAGE:p.39
The Smith		NAMEISPI:NO		DOMAINS:Fire,Knowledge,Magic,Strength,Water|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Smith			FACTSET:Pantheon|Dragonstar	DEITYWEAP:Warhammer			ALIGN:TN	SOURCEPAGE:p.39
The Trickster	NAMEISPI:NO		DOMAINS:Chaos,Knowledge,Luck,Magic,Trickery|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Trickster		FACTSET:Pantheon|Dragonstar	DEITYWEAP:Sword (Short)			ALIGN:CN	SOURCEPAGE:p.39
The Warrior		NAMEISPI:NO		DOMAINS:Law,Luck,Magic,Strength,War|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE																	DESC:The Warrior			FACTSET:Pantheon|Dragonstar	DEITYWEAP:Greatsword			ALIGN:LN	SOURCEPAGE:p.39

Dualist		NAMEISPI:NO		DOMAINS:ANY|PREALIGN:NG,TN,NE																								DESC:Dualist			FACTSET:Pantheon|Dragonstar									SOURCEPAGE:p.39

The Creator		NAMEISPI:NO		DOMAINS:Air,Animal,Death,Destruction,Earth,Fire,Good,Healing,Knowledge,Law,Luck,Magic,Plant,Protection,Strength,Sun,Travel,Trickery,War,Water|PREALIGN:LG,LN,NG,TN	DESC:The Creator			FACTSET:Pantheon|Dragonstar	DEITYWEAP:Hammer (Light)|Warhammer	ALIGN:LG	SOURCEPAGE:p.39
The Adversary	NAMEISPI:NO		DOMAINS:Air,Animal,Chaos,Death,Destruction,Earth,Evil,Fire,Healing,Knowledge,Luck,Magic,Plant,Protection,Strength,Sun,Travel,Trickery,War,Water|PREALIGN:TN,NE,CN,CE	DESC:The Adversary		FACTSET:Pantheon|Dragonstar	DEITYWEAP:Flail				ALIGN:CE	SOURCEPAGE:p.39
