# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Midnight - Against the Shadow	SOURCESHORT:AtS	SOURCEWEB:http://www.fantasyflightgames.com/midnight.html	SOURCEDATE:2003-01
#Original Entry By: Aaron Divinsky

# Weapon Name			Type
Farmer's Rope			TYPE:Simple
Tack Whip				TYPE:Simple
Horse Hammer			TYPE:Simple
Wogren Jawhelm			TYPE:Simple

Orc Slitter				TYPE:Exotic
Staghorn				TYPE:Exotic
Atharak				TYPE:Exotic
Lance (Halfling)			TYPE:Exotic
Tangle Spear			TYPE:Exotic
Vardatch (Crafted)		TYPE:Exotic
Bladed Staff			TYPE:Exotic
Dornish Horse Spear		TYPE:Exotic
Lance (Sarcosan)			TYPE:Exotic
Vardatch (Crafted (Greater))	TYPE:Exotic

Orcish Plagueskull		TYPE:Simple
Inutek				TYPE:Martial

#
# End
#
