# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Relics and Rituals	SOURCESHORT:RelicRitual	SOURCEWEB:http://www.swordsorcery.com	SOURCEDATE:2001-01

###Block: Tattoos
# Equipment Name		Product Identity?	Output Name				Type					Cost		Weight	Source Page			Class Skill
Belsameth's Servant	NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:48600	WT:0		SOURCEPAGE:198-199	CSKILL:Control Shape
Chardun's Might		NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:3500	WT:0		SOURCEPAGE:199
Corean's Forge		NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:6300	WT:0		SOURCEPAGE:199
Denev's Sending		NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:1400	WT:0		SOURCEPAGE:199
Dragon			NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:8000	WT:0		SOURCEPAGE:199
Elder Rod			NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:6000	WT:0		SOURCEPAGE:199
Enkili's Blessing		NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:2160	WT:0		SOURCEPAGE:199
Hedrada's Insight		NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:1200	WT:0		SOURCEPAGE:199
Lethene's Touch		NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:10800	WT:0		SOURCEPAGE:199-200
Madriel's Light		NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:2500	WT:0		SOURCEPAGE:200
Muskhorn			NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:7000	WT:0		SOURCEPAGE:200
Observer's Shawl		NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:5000	WT:0		SOURCEPAGE:200
Tanil's Grace		NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:6000	WT:0		SOURCEPAGE:200
Tar Dragon			NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:70000	WT:0		SOURCEPAGE:200
Titanspawn			NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:2500	WT:0		SOURCEPAGE:200
Wraith Hand			NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo			COST:4320	WT:0		SOURCEPAGE:200
Mark of the Kinslayer	NAMEISPI:YES	OUTPUTNAME:[NAME] (Tattoo)	TYPE:Magic.Tattoo.Cursed	COST:20000	WT:0		SOURCEPAGE:200

###Block: Spell Components as per the desc of each spell
# Equipment Name							Output Name					Type							Cost		Weight	Source Page
Adamantine Filings						OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Bile/Vial								OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Blindfold								OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Blood/Dead Hero/Horrible Death/Vial				OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Blood/Dead Man/Vial						OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Blood/Vial								OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Blood/Virgin/Vial							OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Bone/Dead Man's Skull/Powdered				OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Bone/Dragon/Powdered						OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Bone/Outsider/Powdered						OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Bone/Piece								OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Bone/Powdered							OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Bone/Undead/Piece							OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Bracken								OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Bread/Moldy/Piece							OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Buckle/Platinum							OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Carrot Juice/Vial							OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Catapillar/Cocooned						OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
Charcoal/Piece							OUTPUTNAME:Spell Component([NAME])	TYPE:Goods.Consumable.Spell Component	COST:0	WT:0		SOURCEPAGE:Per Spell Desc
