# CVS $Revision: $ $Author: $ -- Mon Feb  9 18:51:00 2015 -- reformated by PCGen PrettyLST v6.04.01
SOURCELONG:Dark Markets - A Guide to Katapesh	SOURCESHORT:DM	SOURCEWEB:http://paizo.com/pathfinder/campaignSetting/35E/v5748btpy87ut	SOURCEDATE:2009-04
# Original Entry by: Terry Milnes

###Block: Armor
# Equipment Name		Required Armor Proficiency	Type										Cost		Weight	AC Penalty Check	Modifier				Maximum DEX Bonus	Source Page		% of Spell Failure	Combat bonus
Blink Dog Hide		PROFICIENCY:ARMOR|Leather	TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Nonmetal	COST:0	WT:15		ACCHECK:0		EQMOD:Special Ability ~ Enhancement Cost|-125.Special Quality ~ Masterwork ~ Armor	MAXDEX:6		SOURCEPAGE:p.30	SPELLFAILURE:10		BONUS:COMBAT|AC|2|TYPE=Armor
Bone Mail			PROFICIENCY:ARMOR|Scale Mail	TYPE:Armor.Medium.ArmorProfMedium.Suit.Specific.Nonmetal	COST:0	WT:30		ACCHECK:-4		EQMOD:Special Ability ~ Enhancement Cost|-75.Special Quality ~ Masterwork ~ Armor	MAXDEX:3		SOURCEPAGE:p.30	SPELLFAILURE:25		BONUS:COMBAT|AC|4|TYPE=Armor
Giant Scorpion Shell	PROFICIENCY:ARMOR|Breastplate	TYPE:Armor.Medium.ArmorProfMedium.Suit.Specific.Nonmetal	COST:100	WT:30		ACCHECK:-4		EQMOD:Special Quality ~ Masterwork ~ Armor			MAXDEX:3		SOURCEPAGE:p.30	SPELLFAILURE:25		BONUS:COMBAT|AC|5|TYPE=Armor
Gorgon Hide			PROFICIENCY:ARMOR|Banded Mail	TYPE:Armor.Heavy.ArmorProfHeavy.Suit.Specific.Nonmetal	COST:200	WT:35		ACCHECK:-6		EQMOD:Special Quality ~ Masterwork ~ Armor			MAXDEX:1		SOURCEPAGE:p.30	SPELLFAILURE:35		BONUS:COMBAT|AC|6|TYPE=Armor
Gray Render Hide		PROFICIENCY:ARMOR|Hide		TYPE:Armor.Medium.ArmorProfMedium.Suit.Specific.Nonmetal	COST:0	WT:25		ACCHECK:-3		EQMOD:Special Ability ~ Enhancement Cost|-100.Special Quality ~ Masterwork ~ Armor	MAXDEX:4		SOURCEPAGE:p.30	SPELLFAILURE:20		BONUS:COMBAT|AC|3|TYPE=Armor
Naga Scale			PROFICIENCY:ARMOR|Chain Shirt	TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Nonmetal	COST:50	WT:25		ACCHECK:-2		EQMOD:Special Quality ~ Masterwork ~ Armor			MAXDEX:4		SOURCEPAGE:p.30	SPELLFAILURE:20		BONUS:COMBAT|AC|4|TYPE=Armor
Turtle Shell		PROFICIENCY:ARMOR|Half-Plate	TYPE:Armor.Heavy.ArmorProfHeavy.Suit.Specific.Nonmetal	COST:1850	WT:50		ACCHECK:-7		EQMOD:Special Quality ~ Masterwork ~ Armor			MAXDEX:0		SOURCEPAGE:p.30	SPELLFAILURE:40		BONUS:COMBAT|AC|7|TYPE=Armor
Wood Lamellar		PROFICIENCY:ARMOR|Splint Mail	TYPE:Armor.Heavy.ArmorProfHeavy.Suit.Specific.Nonmetal	COST:100	WT:45		ACCHECK:-7		EQMOD:Special Quality ~ Masterwork ~ Armor			MAXDEX:0		SOURCEPAGE:p.30	SPELLFAILURE:40		BONUS:COMBAT|AC|6|TYPE=Armor
Wyvern Hide			PROFICIENCY:ARMOR|Chainmail	TYPE:Armor.Medium.ArmorProfMedium.Suit.Specific.Nonmetal	COST:100	WT:40		ACCHECK:-5		EQMOD:Special Quality ~ Masterwork ~ Armor			MAXDEX:2		SOURCEPAGE:p.30	SPELLFAILURE:30		BONUS:COMBAT|AC|5|TYPE=Armor

###Block: Weapons
# Equipment Name	Required Weapon Proficiency	Type										Cost		Weight	Crit Mult	Crit Range	Damage	Modifier				Wield Category	Size		Source Page		Ability				Special Property
The Brazen Claw	PROFICIENCY:WEAPON|Scimitar	TYPE:Weapon.Resizable.Melee.Martial.Specific.Slashing.Sword	COST:15	WT:4		CRITMULT:x2	CRITRANGE:3	DAMAGE:1d6	EQMOD:Special Ability ~ +2 ~ Weapon.Material ~ Steel.Special Ability ~ Vicious ~ Melee	WIELD:OneHanded	SIZE:M	SOURCEPAGE:p.17	ABILITY:FEAT|VIRTUAL|Cleave	SPROP:If a gnoll wields the brazen claw, he takes no damage from the sword's vicious ability.
