# CVS $Revision: $ $Author: $ -- Fri Jun 17 21:51:56 2016 -- reformated by PCGen PrettyLST v6.06.00
#SOURCELONG:Blood of Fiends	SOURCESHORT:BOF	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8auu	SOURCEDATE:2012-04
# ORIGINAL ENTRY: Stefan Radermacher
# ORIGINAL ENTRY DATE: 12 July 2013

# Ability Category			Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object		Display Location
ABILITYCATEGORY:Tiefling Subrace	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TieflingSubrace	DISPLAYLOCATION:Racial Abilities


###Block: Tiefling Race Traits
# Ability Category				Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Tiefling Race Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TieflingRaceTrait		PLURAL:Tiefling Race Traits		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Asura Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AsuraSpawnRaceTrait	PLURAL:Asura Spawn Race Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Daemon Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DaemonSpawnRaceTrait	PLURAL:Daemon Spawn Race Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Demodand Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DemodandSpawnRaceTrait	PLURAL:Demodand Spawn Race Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Demon Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DemonSpawnRaceTrait	PLURAL:Demon Spawn Race Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Devil Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DevilSpawnRaceTrait	PLURAL:Devil Spawn Race Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Div Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DivSpawnRaceTrait		PLURAL:Div Spawn Race Traits		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Kyton Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:KytonSpawnRaceTrait	PLURAL:Kyton Spawn Race Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Oni Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:OniSpawnRaceTrait		PLURAL:Oni Spawn Race Traits		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Qlippoth Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:QlippothSpawnRaceTrait	PLURAL:Qlippoth Spawn Race Traits	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Rakshasa Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:RakshasaSpawnRaceTrait	PLURAL:Rakshasa Spawn Race Traits	DISPLAYLOCATION:Racial Abilities

#Tiefling Variant Abilities based on the set in Blood of Angels that worked
ABILITYCATEGORY:Tiefling Variant Ability	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TieflingVariantAbility	PLURAL:Tiefling Variant Abilities	DISPLAYLOCATION:Racial Abilities


###Block: Class Bonus Feat Categories
# Ability Category				Visible		Editable?		Change Pool?	Fractional values?	Category of Object	Type of Object		Specific choices list		Plural description for UI	Display Location
ABILITYCATEGORY:Daemon Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:DaemonBloodline	ABILITYLIST:Skill Focus(Heal)	PLURAL:Daemon Bloodline Feats	DISPLAYLOCATION:Feats

#
# End
#
