# This file determines level based benefits.
#
#
#
#LEVEL:LEVEL	MINXP:(LEVEL*LEVEL-LEVEL)*500		CSKILLMAX:LEVEL+3		CCSKILLMAX:(LEVEL+3)/2


XPTABLE:Standard
LEVEL:1	MINXP:0		CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:2	MINXP:1000		CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:3	MINXP:2500		CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:4	MINXP:5000		CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:5	MINXP:10000		CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:6	MINXP:15000		CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:7	MINXP:25000		CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:8	MINXP:40000		CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:9	MINXP:60000		CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:10	MINXP:80000		CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:11	MINXP:100000	CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:12	MINXP:125000	CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:13	MINXP:150000	CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:14	MINXP:200000	CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:15	MINXP:250000	CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:16	MINXP:300000	CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:17	MINXP:375000	CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:18	MINXP:450000	CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:19	MINXP:525000	CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")
LEVEL:20	MINXP:600000	CSKILLMAX:var("Allowed_Rank")	CCSKILLMAX:var("Allowed_Rank")*var("Min_Rank")


#
# end
#
