# This file determines level based benefits.
#
# The values are based on table 3-1 on page 30
#
# Added the Pathfinder Society Rules for Level Advancement
#


XPTABLE:PFS Rules
LEVEL:1	MINXP:0		CSKILLMAX:1		CCSKILLMAX:1
LEVEL:2	MINXP:3		CSKILLMAX:2		CCSKILLMAX:2
LEVEL:3	MINXP:6		CSKILLMAX:3		CCSKILLMAX:3
LEVEL:4	MINXP:9		CSKILLMAX:4		CCSKILLMAX:4
LEVEL:5	MINXP:12		CSKILLMAX:5		CCSKILLMAX:5
LEVEL:6	MINXP:15		CSKILLMAX:6		CCSKILLMAX:6
LEVEL:7	MINXP:18		CSKILLMAX:7		CCSKILLMAX:7
LEVEL:8	MINXP:21		CSKILLMAX:8		CCSKILLMAX:8
LEVEL:9	MINXP:24		CSKILLMAX:9		CCSKILLMAX:9
LEVEL:10	MINXP:27		CSKILLMAX:10	CCSKILLMAX:10
LEVEL:11	MINXP:30		CSKILLMAX:11	CCSKILLMAX:11
LEVEL:12	MINXP:33		CSKILLMAX:12	CCSKILLMAX:12
LEVEL:13	MINXP:36		CSKILLMAX:13	CCSKILLMAX:13
LEVEL:14	MINXP:39		CSKILLMAX:14	CCSKILLMAX:14
LEVEL:15	MINXP:42		CSKILLMAX:15	CCSKILLMAX:15
LEVEL:16	MINXP:45		CSKILLMAX:16	CCSKILLMAX:16
LEVEL:17	MINXP:48		CSKILLMAX:17	CCSKILLMAX:17
LEVEL:18	MINXP:51		CSKILLMAX:18	CCSKILLMAX:18
LEVEL:19	MINXP:54		CSKILLMAX:19	CCSKILLMAX:19
LEVEL:20	MINXP:57		CSKILLMAX:20	CCSKILLMAX:20
LEVEL:LEVEL	MINXP:(LEVEL-1)*3	CSKILLMAX:LEVEL	CCSKILLMAX:LEVEL

#
# end
#
