AGESET:0|Adulthood
RACENAME:Human%		CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:1d4]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:1d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:2d6]
RACENAME:Human%		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Human%		BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty

RACENAME:Dwarf%		CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:3d6]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:5d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:7d6]
RACENAME:Dwarf%		SEX:Male[BASEHT:45|HTDIEROLL:2d4|BASEWT:130|WTDIEROLL:2d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:43|HTDIEROLL:2d4|BASEWT:100|WTDIEROLL:2d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Dwarf%		BASEAGE:40	MAXAGE:124	AGEDIEROLL:4d20+1d4	HAIR:Blond|Brown|Bald|Gray	EYES:Blue|Black|Brown|Gray	SKINTONE:Tanned|Pasty|Fair|Gray

RACENAME:Elf%		CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:4d6]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:6d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:10d6]
RACENAME:Elf%		SEX:Male[BASEHT:53|HTDIEROLL:2d6|BASEWT:85|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d6|BASEWT:80|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Elf%		BASEAGE:110	MAXAGE:174	AGEDIEROLL:8d8	HAIR:White|Pale Yellow|Silver-White|Black|Blue|Golden Blonde|Copper|Brown	EYES:Violet|Silver|Pink|Pale Blue|Gold-flecked Green|Gold-flecked Blue|Green|Gold|Brown|Hazel	SKINTONE:Obsidian|Fair|Tanned|Pasty|Bronze|Dark Brown|Copper

RACENAME:Gnome%		CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:4d6]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:6d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:9d6]
RACENAME:Gnome%		SEX:Male[BASEHT:36|HTDIEROLL:2d4|BASEWT:40|WTDIEROLL:1d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:34|HTDIEROLL:2d4|BASEWT:35|WTDIEROLL:1d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Gnome%		BASEAGE:40	MAXAGE:99	AGEDIEROLL:10d6	HAIR:Gray|Bald|Blonde|Brown|Black|Red	EYES:Blue|Gray|Black|Brown|Hazel|Green	SKINTONE:Tanned|Pasty|Gray|Fair|Pale

RACENAME:Half-Elf%	CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:1d6]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:2d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:3d6]
RACENAME:Half-Elf%	SEX:Male[BASEHT:55|HTDIEROLL:2d8|BASEWT:100|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d8|BASEWT:80|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Half-Elf%	BASEAGE:20	MAXAGE:61	AGEDIEROLL:7d6	HAIR:White|Pale Yellow|Silver-White|Black|Blue|Golden Blonde|Copper|Brown	EYES:Violet|Silver|Pink|Pale Blue|Gold-flecked Green|Gold-flecked Blue|Green|Gold|Brown|Hazel	SKINTONE:Obsidian|Fair|Tanned|Pasty|Bronze|Dark Brown|Copper

RACENAME:Half-Orc%	CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:1d4]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:1d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:2d6]
RACENAME:Half-Orc%	SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:130|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:52|HTDIEROLL:2d10|BASEWT:90|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Half-Orc%	BASEAGE:14	MAXAGE:29	AGEDIEROLL:4d4	HAIR:Black	EYES:Black|Green	SKINTONE:Light Green|Dark Green|Tanned

RACENAME:Halfling%	CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:2d4]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:3d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:4d6]
RACENAME:Halfling%	SEX:Male[BASEHT:32|HTDIEROLL:2d4|BASEWT:30|WTDIEROLL:1d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:30|HTDIEROLL:2d4|BASEWT:30|WTDIEROLL:1d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Halfling%	BASEAGE:20	MAXAGE:49	AGEDIEROLL:5d6	HAIR:Blond|Brown|Black|Red|White|Gray	EYES:Blue|Green|Black|Brown|Hazel|Gray	SKINTONE:Tanned|Pasty|Brown|Pale|Fair

AGESET:1|Middle Age	BONUS:STAT|STR,CON,DEX|-1	BONUS:STAT|INT,WIS,CHA|1
RACENAME:Human%		BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6
RACENAME:Dwarf%		BASEAGE:125	MAXAGE:187	AGEDIEROLL:(7d8+1d6)
RACENAME:Elf%		BASEAGE:175	MAXAGE:262	AGEDIEROLL:11d8
RACENAME:Gnome%		BASEAGE:100	MAXAGE:149	AGEDIEROLL:(8d6+1)
RACENAME:Half-Elf%	BASEAGE:62	MAXAGE:92	AGEDIEROLL:5d6
RACENAME:Half-Orc%	BASEAGE:30	MAXAGE:44	AGEDIEROLL:(1d10+1d4)
RACENAME:Halfling%	BASEAGE:50	MAXAGE:74	AGEDIEROLL:4d6

AGESET:2|Old		BONUS:STAT|STR,CON,DEX|-3	BONUS:STAT|INT,WIS,CHA|2
RACENAME:Human%		BASEAGE:53	MAXAGE:69	AGEDIEROLL:4d4+1
RACENAME:Dwarf%		BASEAGE:188	MAXAGE:249	AGEDIEROLL:10d6+1
RACENAME:Elf%		BASEAGE:263	MAXAGE:349	AGEDIEROLL:10d8+1d6
RACENAME:Gnome%		BASEAGE:150	MAXAGE:199	AGEDIEROLL:8d6+1
RACENAME:Half-Elf%	BASEAGE:93	MAXAGE:124	AGEDIEROLL:5d6+1
RACENAME:Half-Orc%	BASEAGE:45	MAXAGE:59	AGEDIEROLL:1d10+1d4
RACENAME:Halfling%	BASEAGE:75	MAXAGE:99	AGEDIEROLL:6d4

AGESET:3|Venerable	BONUS:STAT|STR,CON,DEX|-6	BONUS:STAT|INT,WIS,CHA|3
RACENAME:Human%		BASEAGE:70	MAXAGE:110	AGEDIEROLL:4d10
RACENAME:Dwarf%		BASEAGE:250	MAXAGE:450	AGEDIEROLL:2d100
RACENAME:Elf%		BASEAGE:350	MAXAGE:750	AGEDIEROLL:4d100
RACENAME:Gnome%		BASEAGE:200	MAXAGE:500	AGEDIEROLL:3d100
RACENAME:Half-Elf%	BASEAGE:125	MAXAGE:185	AGEDIEROLL:6d10
RACENAME:Half-Orc%	BASEAGE:60	MAXAGE:80	AGEDIEROLL:5d4
RACENAME:Halfling%	BASEAGE:100	MAXAGE:200	AGEDIEROLL:5d20
